Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-15;0,90;1,00;0,90;1,00;3.108;3.060
2019-11-14;0,90;1,00;0,90;0,95;4.462;4.449
2019-11-13;0,90;0,995;0,90;0,995;1.867;1.809
2019-11-12;0,86;0,98;0,86;0,91;4.375;4.178
2019-11-11;0,90;0,91;0,86;0,91;3.678;3.255
2019-11-08;0,97;0,995;0,97;0,985;2.884;2.850
2019-11-07;0,94;1,00;0,94;1,00;9.264;9.024
2019-11-06;0,865;0,99;0,865;0,99;1.730;1.695
2019-11-05;0,96;0,96;0,90;0,90;262;236
2019-11-04;0,97;0,981;0,97;0,981;3.001;2.935
2019-11-01;0,81;0,999;0,81;0,972;2.848;2.753
2019-10-31;0,975;0,98;0,966;0,98;490;479
2019-10-30;0,9999;0,9999;0,966;0,966;757;747
2019-10-29;0,89;0,96;0,89;0,92;102;95
2019-10-28;0,999;0,999;0,95;0,955;3.109;3.039
2019-10-25;0,9999;1,00;0,9999;1,00;4.575;4.575
2019-10-24;0,94;1,00;0,90;0,99;6.702;6.684
2019-10-23;0,90;1,101;0,90;0,90;20.331;21.354
2019-10-22;0,70;0,84;0,70;0,80;2.110;1.592
2019-10-21;0,80;0,90;0,80;0,90;225;190
2019-10-18;0,975;0,975;0,90;0,90;385;347
2019-10-17;0,86;0,97;0,86;0,97;153;143
2019-10-16;0,865;0,875;0,865;0,875;916;802
2019-10-15;0,86;0,866;0,86;0,866;10;9
2019-10-14;0,8501;0,94;0,8501;0,94;6.201;5.736
2019-10-11;0,86;0,90;0,86;0,87;1.637;1.454
2019-10-10;0,86;0,94;0,86;0,89;2.900;2.656
2019-10-09;0,866;0,866;0,866;0,866;49;42
2019-10-08;0,88;0,88;0,865;0,865;202;175
2019-10-07;0,85;0,88;0,85;0,88;217;184
2019-10-04;0,83;0,98;0,83;0,98;95;93
2019-10-03;0,90;0,90;0,90;0,90;0;0
2019-10-02;0,88;0,90;0,88;0,90;587;528
2019-10-01;0,94;0,94;0,90;0,94;174;162
2019-09-30;0,90;1,07;0,82;0,90;7.314;6.073
2019-09-27;1,00;1,05;0,89;0,98;7.412;7.294
2019-09-26;0,95;0,95;0,948;0,948;2.200;2.086
2019-09-25;0,89;0,99;0,89;0,99;3.706;3.565
2019-09-24;0,90;0,90;0,90;0,90;37;33
2019-09-23;0,89;0,95;0,89;0,95;503;478
2019-09-20;0,875;0,93;0,875;0,93;23.186;21.330
2019-09-19;0,865;0,865;0,865;0,865;500;433
2019-09-18;0,865;0,865;0,865;0,865;0;0
2019-09-17;0,865;0,87;0,865;0,87;145;126
2019-09-16;0,85;0,866;0,85;0,866;121;104
2019-09-13;0,81;0,98;0,81;0,98;1.711;1.637
2019-09-12;0,86;0,95;0,86;0,88;892;797
2019-09-11;0,90;0,95;0,90;0,95;100;95
2019-09-10;0,81;0,95;0,81;0,95;659;587
2019-09-09;0,949;1,00;0,899;0,899;2.983;2.915
2019-09-06;0,80;0,96;0,80;0,949;423;402
2019-09-05;0,80;0,82;0,80;0,801;199;162
2019-09-04;1,00;1,00;0,82;0,82;80;66
2019-09-03;0,95;0,99;0,95;0,95;430;414
2019-09-02;1,30;1,30;0,86;1,00;9.633;10.824
2019-08-30;0,79;1,20;0,79;1,20;6.457;6.625
2019-08-29;0,7899;0,84;0,7899;0,80;217;178
2019-08-28;0,85;0,85;0,845;0,845;1.170;991
2019-08-27;0,80;0,83;0,6907;0,83;1.375;1.104
2019-08-26;0,70;0,805;0,65;0,805;7.392;5.227
2019-08-23;0,671;0,706;0,671;0,671;7.246;5.010
2019-08-22;0,6711;0,695;0,671;0,671;3.309;2.281
2019-08-21;0,671;0,672;0,671;0,672;854;574
2019-08-20;0,671;0,671;0,671;0,671;0;0
2019-08-19;0,671;0,675;0,671;0,671;1.079;728
2019-08-16;0,69;0,699;0,671;0,699;802;559
2019-08-15;0,671;0,695;0,671;0,695;2.576;1.762
2019-08-14;0,67;0,695;0,65;0,695;816;549
2019-08-13;0,65;0,695;0,65;0,695;10.645;7.135
2019-08-12;0,65;0,698;0,65;0,65;248;169
2019-08-09;0,70;0,705;0,615;0,66;954;668
2019-08-08;0,70;0,705;0,70;0,705;389;273
2019-08-07;0,70;0,705;0,70;0,705;97;68
2019-08-06;0,70;0,71;0,70;0,70;30;21
2019-08-05;0,6955;0,7797;0,60;0,75;7.085;5.313
2019-08-02;0,71;0,76;0,64;0,75;3.463;2.349
2019-08-01;0,72;0,775;0,71;0,71;7.154;5.316
2019-07-31;0,72;0,74;0,72;0,74;687;508
2019-07-30;0,735;0,735;0,72;0,72;6.000;4.335
2019-07-29;0,76;0,76;0,735;0,735;4.366;3.315
2019-07-26;0,775;0,84;0,735;0,735;2.000;1.583
2019-07-25;0,73;0,8234;0,73;0,8234;120;97
2019-07-24;0,75;0,75;0,725;0,73;4.334;3.207
2019-07-23;0,751;0,751;0,751;0,751;385;289
2019-07-22;0,732;0,75;0,73;0,73;571;427
2019-07-19;0,73;0,735;0,73;0,73;435;319
2019-07-18;0,73;0,79;0,73;0,74;2.324;1.779
2019-07-17;0,73;0,73;0,73;0,73;0;0
2019-07-16;0,75;0,75;0,73;0,73;827;618
2019-07-15;0,75;0,755;0,75;0,75;51;39
2019-07-12;0,756;0,756;0,75;0,75;424;320
2019-07-11;0,75;0,76;0,75;0,755;1.089;817
2019-07-10;0,75;0,77;0,75;0,755;1.058;799
2019-07-09;0,785;0,785;0,75;0,75;1.287;990
2019-07-08;0,75;0,78;0,75;0,78;0;0
2019-07-05;0,765;0,765;0,76;0,765;569;435
2019-07-04;0,80;0,80;0,76;0,76;5.000;4.000
2019-07-03;0,76;0,88;0,76;0,80;25;22
2019-07-02;0,80;0,81;0,75;0,76;10.345;8.079
2019-07-01;0,72;0,825;0,72;0,80;2.169;1.786
2019-06-28;0,72;0,725;0,72;0,72;2.500;1.813
2019-06-27;0,7999;0,7999;0,72;0,72;9.820;7.456
2019-06-26;0,72;0,79;0,72;0,79;616;446
2019-06-25;0,72;0,795;0,72;0,7352;4.027;3.041
2019-06-24;0,7999;0,7999;0,72;0,72;3.903;2.871
2019-06-21;0,76;0,795;0,76;0,77;1.647;1.306
2019-06-20;0,851;0,89;0,75;0,76;3.069;2.551
