Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-07;12,14;13,56;12,14;13,44;425.701;5.526.665
2019-11-06;13,22;13,24;11,82;12,34;669.520;8.260.562
2019-11-05;14,44;14,50;12,60;13,26;865.053;11.520.728
2019-11-04;15,60;15,60;13,54;14,40;746.447;10.651.436
2019-11-01;14,20;15,68;14,20;15,18;447.144;6.745.903
2019-10-31;14,00;14,34;12,72;14,16;583.459;7.861.818
2019-10-30;16,18;16,18;13,42;14,40;1.290.677;18.508.142
2019-10-29;15,10;16,60;14,96;16,12;567.093;8.740.113
2019-10-28;14,10;15,08;14,00;15,00;355.258;5.165.194
2019-10-25;14,28;14,36;13,62;13,92;239.607;3.329.571
2019-10-24;13,78;14,20;13,54;14,20;236.175;3.300.650
2019-10-23;13,96;14,24;13,32;13,76;250.921;3.441.556
2019-10-22;13,48;14,10;13,02;13,82;439.819;6.004.561
2019-10-21;12,50;13,40;12,36;13,28;276.445;3.595.691
2019-10-18;12,64;13,26;11,98;12,44;398.680;5.045.161
2019-10-17;11,64;13,14;11,60;12,60;606.352;7.601.598
2019-10-16;11,00;11,70;10,86;11,54;233.310;2.624.959
2019-10-15;10,36;11,18;10,36;11,00;153.123;1.639.492
2019-10-14;10,30;10,44;10,16;10,44;60.978;629.276
2019-10-11;10,20;10,34;9,96;10,18;55.304;561.410
2019-10-10;10,08;10,24;9,75;10,16;43.167;430.290
2019-10-09;9,98;10,00;9,71;9,96;56.187;554.145
2019-10-08;10,20;10,32;9,90;9,90;64.463;647.841
2019-10-07;10,18;10,30;10,06;10,26;57.821;587.633
2019-10-04;10,20;10,38;10,02;10,18;87.638;893.760
2019-10-03;9,85;10,40;9,51;10,32;52.986;528.186
2019-10-02;10,30;10,44;9,76;9,86;173.186;1.728.888
2019-10-01;10,48;10,74;10,22;10,24;242.789;2.538.660
2019-09-30;10,20;10,36;9,56;10,34;240.426;2.387.407
2019-09-27;9,95;10,46;9,89;10,06;333.931;3.418.040
2019-09-26;9,64;10,02;9,60;9,90;208.456;2.065.997
2019-09-25;9,50;9,64;9,29;9,64;170.046;1.618.770
2019-09-24;9,45;9,89;9,05;9,32;235.772;2.253.620
2019-09-23;9,25;9,59;8,91;9,45;214.610;2.002.983
2019-09-20;8,93;9,31;8,69;9,03;197.767;1.787.301
2019-09-19;8,62;8,90;8,56;8,90;117.960;1.033.588
2019-09-18;8,18;8,74;8,16;8,65;106.292;900.837
2019-09-17;8,27;8,33;8,11;8,21;57.202;468.576
2019-09-16;8,28;8,39;8,11;8,24;126.522;1.045.447
2019-09-13;8,17;8,29;8,10;8,29;25.752;211.275
2019-09-12;8,23;8,27;8,06;8,10;51.883;424.507
2019-09-11;8,13;8,30;8,02;8,15;53.310;434.683
2019-09-10;8,25;8,25;8,05;8,12;61.309;497.216
2019-09-09;8,60;8,61;8,04;8,27;126.600;1.041.529
2019-09-06;8,38;8,70;8,35;8,50;75.467;643.792
2019-09-05;8,19;8,39;8,10;8,36;48.289;401.134
2019-09-04;8,12;8,19;7,96;8,19;26.618;215.101
2019-09-03;8,15;8,22;7,90;8,01;23.581;190.249
2019-09-02;8,15;8,24;7,91;8,15;24.739;199.696
2019-08-30;8,07;8,17;7,99;8,01;46.831;378.032
2019-08-29;7,92;8,09;7,81;8,03;90.784;727.298
2019-08-28;8,09;8,09;7,81;7,95;46.528;367.783
2019-08-27;7,86;8,09;7,82;8,00;31.157;248.150
2019-08-26;7,91;8,09;7,62;7,88;61.350;480.939
2019-08-23;8,10;8,26;7,97;7,99;63.152;511.054
2019-08-22;8,59;8,89;7,91;8,05;228.213;1.877.322
2019-08-21;8,14;8,61;8,04;8,39;82.312;685.074
2019-08-20;7,91;8,13;7,72;8,12;121.626;973.590
2019-08-19;7,40;7,94;7,40;7,90;123.739;953.179
2019-08-16;6,72;7,48;6,70;7,28;71.981;516.764
2019-08-15;7,31;7,47;6,42;6,89;254.733;1.747.513
2019-08-14;7,97;8,08;7,31;7,42;155.738;1.180.405
2019-08-13;8,28;8,28;7,71;8,01;93.201;736.575
2019-08-12;8,36;8,36;8,00;8,15;48.205;393.437
2019-08-09;8,31;8,32;8,09;8,29;25.020;205.798
2019-08-08;8,18;8,39;8,18;8,35;48.324;399.878
2019-08-07;8,25;8,47;8,01;8,15;53.162;436.680
2019-08-06;8,11;8,30;7,94;8,24;95.733;780.925
2019-08-05;8,45;8,45;7,82;8,01;139.007;1.119.877
2019-08-02;8,75;8,81;8,41;8,55;88.294;757.295
2019-08-01;8,77;8,90;8,68;8,84;70.342;621.459
2019-07-31;8,74;8,84;8,61;8,75;36.375;317.785
2019-07-30;8,79;8,84;8,63;8,76;55.828;487.252
2019-07-29;8,65;8,79;8,57;8,78;89.468;778.587
2019-07-26;8,50;8,65;8,41;8,63;47.735;407.992
2019-07-25;8,52;8,60;8,41;8,56;36.345;309.723
2019-07-24;8,42;8,65;8,41;8,60;58.318;497.842
2019-07-23;8,45;8,59;8,36;8,43;39.242;331.873
2019-07-22;8,58;8,64;8,40;8,43;60.284;512.066
2019-07-19;8,29;8,60;8,27;8,60;69.625;587.918
2019-07-18;8,47;8,47;8,13;8,20;64.560;531.528
2019-07-17;8,46;8,59;8,31;8,44;42.268;356.428
2019-07-16;8,62;8,64;8,42;8,52;50.442;430.078
2019-07-15;8,40;8,63;8,23;8,63;82.983;693.242
2019-07-12;8,13;8,27;8,04;8,20;32.334;263.933
2019-07-11;8,27;8,31;8,03;8,11;45.707;372.290
2019-07-10;8,09;8,27;8,00;8,27;74.157;604.682
