Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-11-22;86,04;87,68;86,04;86,86;1.585;138.478
2019-11-21;84,84;86,29;83,98;86,29;1.238;104.633
2019-11-20;85,53;85,84;84,88;84,88;637;54.202
2019-11-19;86,52;86,89;86,23;86,89;1.009;87.314
2019-11-18;85,19;86,86;85,19;86,09;464;39.871
2019-11-15;85,93;85,93;84,84;85,40;786;67.048
2019-11-14;86,89;86,91;85,78;86,43;792;68.595
2019-11-13;85,46;86,60;85,46;86,60;322;27.768
2019-11-12;85,25;85,75;84,29;85,73;1.257;106.719
2019-11-11;85,77;85,77;84,01;85,38;1.388;117.494
2019-11-08;84,50;84,86;84,37;84,55;405;34.262
2019-11-07;85,93;86,00;84,95;85,02;540;46.051
2019-11-06;84,91;85,63;84,71;85,61;585;49.732
2019-11-05;86,31;87,10;85,40;85,95;894;77.170
2019-11-04;86,71;88,09;86,65;86,65;1.225;106.718
2019-11-01;88,18;88,53;86,33;86,80;949;83.335
2019-10-31;88,38;88,38;86,85;87,31;963;84.084
2019-10-30;85,92;88,19;85,92;88,15;482;41.936
2019-10-29;85,98;86,44;85,57;85,92;2.360;203.339
2019-10-28;86,52;87,85;84,83;86,09;1.573;135.889
2019-10-25;86,23;86,23;84,81;86,00;1.356;116.021
2019-10-24;82,00;85,31;82,00;84,91;2.442;204.192
2019-10-23;79,43;80,51;78,85;80,51;1.441;114.824
2019-10-22;78,50;79,62;78,43;79,40;1.620;127.405
2019-10-21;78,66;79,07;77,87;79,07;2.188;171.551
2019-10-18;79,05;80,06;78,85;79,30;2.763;219.196
2019-10-17;78,52;79,81;78,52;79,59;1.372;108.693
2019-10-16;80,76;81,00;79,23;79,74;1.046;83.820
2019-10-15;80,04;80,04;79,40;79,81;571;45.473
2019-10-14;78,94;80,07;78,72;80,07;1.173;93.509
2019-10-11;78,46;79,84;78,21;79,84;1.252;98.638
2019-10-10;79,10;80,51;78,32;80,22;467;37.004
2019-10-09;79,00;79,60;78,68;78,68;914;72.505
2019-10-08;78,96;79,35;78,43;78,89;674;53.202
2019-10-07;78,36;79,29;78,36;79,29;657;51.760
2019-10-04;79,18;79,33;78,58;78,58;347;27.407
2019-10-03;78,33;78,33;78,31;78,31;79;6.188
2019-10-02;80,24;80,24;76,50;76,50;1.398;107.994
2019-10-01;83,28;83,28;79,40;79,40;1.048;85.049
2019-09-30;83,23;83,40;81,78;82,78;730;60.268
2019-09-27;83,40;83,41;82,80;82,80;835;69.447
2019-09-26;82,84;84,48;82,84;83,40;2.137;179.060
2019-09-25;82,61;83,00;82,07;82,59;2.086;172.110
